voted_for,race,family_income
Trump,White,"$10,000 - $19,999"
Biden,White,"$60,000 - $69,999"
Biden,White,"$100,000 - $119,999"
Trump,White,"$40,000 - $49,999"
Trump,White,"$10,000 - $19,999"
Trump,White,"$50,000 - $59,999"
Biden,White,"$60,000 - $69,999"
Biden,White,"$80,000 - $89,999"
Biden,White,"$40,000 - $49,999"
Biden,White,"$80,000 - $89,999"
Biden,White,NA
Trump,White,"$80,000 - $89,999"
Trump,White,NA
Trump,White,"$100,000 - $119,999"
Biden,Black,"$250,000 - $349,999"
Biden,Black,"$80,000 - $89,999"
Biden,White,"$50,000 - $59,999"
Biden,White,"$80,000 - $89,999"
Trump,Black,"$40,000 - $49,999"
Biden,White,"$70,000 - $79,999"
Biden,White,"$10,000 - $19,999"
Biden,White,NA
Biden,White,"$20,000 - $29,999"
Trump,White,"$10,000 - $19,999"
Trump,White,"$40,000 - $49,999"
Biden,White,"$40,000 - $49,999"
Biden,White,"$70,000 - $79,999"
Trump,White,NA
Trump,White,"$80,000 - $89,999"
Biden,White,"$100,000 - $119,999"
Trump,White,"$250,000 - $349,999"
Biden,Black,"$80,000 - $89,999"
Trump,White,"$100,000 - $119,999"
Biden,White,"$40,000 - $49,999"
Trump,White,"$100,000 - $119,999"
Trump,White,"$80,000 - $89,999"
Biden,White,"$40,000 - $49,999"
Biden,White,"$80,000 - $89,999"
Biden,White,"$100,000 - $119,999"
Biden,White,"$100,000 - $119,999"
Trump,White,NA
Trump,White,"$50,000 - $59,999"
Biden,White,"$80,000 - $89,999"
Trump,White,"$70,000 - $79,999"
Biden,White,NA
Trump,White,"$30,000 - $39,999"
Biden,White,"$100,000 - $119,999"
Trump,Hispanic,"$250,000 - $349,999"
Biden,White,"$10,000 - $19,999"
Biden,White,"$60,000 - $69,999"
Biden,Hispanic,"$50,000 - $59,999"
Trump,White,"$20,000 - $29,999"
Biden,White,"$120,000 - $149,999"
Trump,Middle Eastern,"$120,000 - $149,999"
Biden,White,"$60,000 - $69,999"
Trump,White,"$80,000 - $89,999"
Biden,White,"$60,000 - $69,999"
Trump,White,NA
Trump,White,"$80,000 - $89,999"
Trump,White,"$30,000 - $39,999"
Biden,White,NA
Trump,White,"$120,000 - $149,999"
Trump,White,"$70,000 - $79,999"
Biden,Hispanic,"$100,000 - $119,999"
Trump,White,"$40,000 - $49,999"
Biden,White,"$10,000 - $19,999"
Biden,White,"$120,000 - $149,999"
Biden,White,"$50,000 - $59,999"
Trump,White,"$50,000 - $59,999"
Trump,White,NA
Trump,White,"$40,000 - $49,999"
Biden,Hispanic,"$100,000 - $119,999"
Trump,White,"$80,000 - $89,999"
Biden,Two or more races,"$120,000 - $149,999"
Biden,Hispanic,"$30,000 - $39,999"
Biden,White,"$100,000 - $119,999"
Trump,White,"$70,000 - $79,999"
Trump,White,NA
Biden,White,"$40,000 - $49,999"
Trump,White,"$10,000 - $19,999"
Biden,Black,NA
Trump,White,NA
Trump,White,"$150,000 - $199,999"
Biden,Hispanic,"$10,000 - $19,999"
Biden,White,NA
Trump,White,NA
Biden,Black,"$70,000 - $79,999"
Biden,Asian,"$80,000 - $89,999"
Trump,White,"$80,000 - $89,999"
Trump,White,"$500,000 or more"
Trump,White,"$100,000 - $119,999"
Biden,White,"$80,000 - $89,999"
Biden,White,"$50,000 - $59,999"
Biden,White,"Less than $10,000"
Trump,White,"$100,000 - $119,999"
Biden,White,"$50,000 - $59,999"
Trump,White,"Less than $10,000"
Biden,White,NA
Trump,White,"$120,000 - $149,999"
Biden,White,"$60,000 - $69,999"
Biden,White,"$40,000 - $49,999"
Trump,White,"$40,000 - $49,999"
Biden,White,"$60,000 - $69,999"
Biden,White,"$20,000 - $29,999"
Biden,White,"$120,000 - $149,999"
Biden,White,NA
