votereg,CC20_410,race,faminc_new
1,2,1,2
2,NA,1,7
1,1,1,7
1,1,1,10
1,4,1,2
1,2,1,5
2,NA,2,3
1,2,1,2
1,2,1,6
1,1,1,7
1,1,1,9
1,1,1,5
1,1,1,9
1,1,1,97
1,2,1,9
1,2,1,97
1,2,1,10
1,1,2,14
1,1,2,9
1,1,1,6
1,1,1,9
1,2,2,5
1,1,1,8
1,1,1,2
1,1,1,97
2,NA,1,97
1,NA,1,9
1,1,1,3
1,2,1,2
2,NA,1,5
1,2,1,5
1,1,1,5
2,NA,1,97
1,1,1,8
1,2,1,97
1,2,1,9
2,NA,1,1
1,1,1,10
1,2,1,14
1,1,2,9
1,2,1,10
1,1,1,5
1,2,1,10
1,4,1,3
1,2,1,9
1,4,7,8
1,1,1,5
1,1,1,9
1,1,1,10
1,1,1,10
1,2,1,97
1,4,1,12
1,2,1,6
1,1,1,9
1,2,1,8
1,NA,1,8
1,1,1,13
1,2,1,4
1,NA,3,97
1,1,1,10
1,2,3,14
2,NA,1,1
1,NA,1,9
1,1,1,2
1,1,1,7
1,1,3,6
1,2,1,3
1,1,1,11
1,2,6,11
1,NA,1,4
1,4,1,9
1,1,1,7
1,2,1,9
1,1,1,7
1,2,1,97
1,2,1,9
1,2,1,4
1,1,1,13
1,2,1,11
1,2,1,8
1,1,3,10
1,NA,1,97
1,NA,1,4
1,2,1,5
1,NA,7,97
1,1,1,2
1,4,4,97
1,1,1,11
1,1,1,6
1,2,1,6
1,2,1,97
1,4,1,6
1,2,1,5
1,1,3,10
1,2,1,9
1,1,7,11
1,1,3,4
1,1,1,10
1,2,1,8
1,2,1,97
1,1,1,5
1,NA,1,7
1,2,1,2
1,1,2,97
1,2,1,97
3,NA,1,6
1,2,1,12
1,1,3,2
1,1,1,97
1,2,1,97
1,NA,4,7
1,1,2,8
2,NA,1,3
1,1,4,9
1,2,1,9
1,2,1,16
1,2,1,10
1,1,1,9
1,1,1,6
1,1,1,1
1,2,1,10
1,1,1,6
1,2,1,1
1,1,1,97
1,2,1,11
1,1,1,7
1,1,1,5
1,2,1,5
1,1,1,7
1,1,1,3
1,1,1,11
1,1,1,97
1,2,1,9
1,1,1,97
1,2,1,6
1,1,3,11
1,2,1,3
1,1,1,7
1,2,1,97
1,1,1,97
1,2,1,97
1,2,1,9
1,1,1,10
1,1,1,9
1,2,1,12
1,2,1,12
1,1,1,11
1,1,7,5
1,1,1,8
1,2,1,5
1,2,1,10
1,1,1,2
1,1,1,2
1,1,1,14
1,2,1,97
1,1,1,6
1,1,1,9
1,2,1,6
1,1,4,8
1,1,1,10
1,2,1,4
1,2,1,4
1,1,1,7
1,2,1,12
1,1,1,8
1,1,7,5
1,1,3,5
1,2,1,10
1,2,1,7
1,1,1,10
1,1,2,10
1,2,1,8
1,1,1,6
1,1,1,6
1,1,1,12
1,2,1,6
1,1,1,7
1,1,1,97
1,1,1,9
1,1,1,9
1,1,1,8
1,1,1,4
1,1,1,7
1,2,1,4
2,NA,1,3
1,1,1,97
1,1,1,4
2,NA,1,5
1,2,1,8
1,1,1,10
1,1,1,9
1,1,1,8
1,1,1,8
2,NA,1,2
1,1,4,10
1,NA,1,2
1,2,7,8
1,2,1,4
1,2,1,10
1,1,1,8
1,1,1,13
1,1,1,3
1,1,1,97
1,2,1,5
1,1,3,2
1,1,1,2
1,NA,1,2
1,1,1,5
1,1,1,7
1,2,1,5
1,1,1,11
1,2,1,9
1,1,1,7
2,NA,1,97
1,NA,1,6
1,1,1,9
1,2,1,7
1,1,1,97
1,1,1,6
1,1,1,5
1,1,1,12
1,2,1,97
1,1,1,9
1,2,1,9
1,2,1,10
1,2,1,16
1,4,7,8
1,1,1,12
1,2,1,8
1,2,1,5
1,1,1,4
1,2,1,6
1,1,1,10
1,2,1,2
1,4,1,12
1,2,1,97
1,1,1,4
1,NA,1,5
1,2,1,11
1,1,1,7
1,1,1,12
1,1,1,7
1,2,1,9
1,2,1,8
2,NA,4,3
1,1,1,97
1,2,1,8
1,1,1,8
1,1,1,2
1,2,1,9
1,2,1,7
1,2,1,97
2,NA,1,2
1,1,1,14
1,1,6,6
1,2,1,13
1,1,1,7
1,1,1,11
1,2,1,2
1,1,1,4
1,1,1,8
